postcode,place,canton,streetName
6005,Luzern,LU,A. -Julius-Eggstein-Gasse
6005,Luzern,LU,AAL
6005,Luzern,LU,AAL
6006,Luzern,LU,Abendrain
6014,Luzern,LU,Abendruh
6006,Luzern,LU,Abendweg
6006,Luzern,LU,Abendweg
6006,Luzern,LU,Adligenswilerstrasse
6006,Luzern,LU,Adligenswilerstrasse
6003,Luzern,LU,Ahornstrasse
6004,Luzern,LU,Allenwindenring
6004,Luzern,LU,Allenwindenstrasse
6004,Luzern,LU,Allenwindenstrasse
6014,Luzern,LU,Allmendweg
6005,Luzern,LU,Alpenquai
6005,Luzern,LU,Alpenquai
6004,Luzern,LU,Alpenstrasse
6004,Luzern,LU,Alpenstrasse
6015,Luzern,LU,Altersheim Staffelnhof
6006,Luzern,LU,Altersheim Unterlöchli
6006,Luzern,LU,Altersheim Unterlöchli
6005,Luzern,LU,Am Rain
6005,Luzern,LU,Am Rain
6014,Luzern,LU,An der kleinen Emme
6014,Luzern,LU,An der kleinen Emme
6005,Luzern,LU,Anna-Neumann-Gasse
6005,Luzern,LU,Anna-Neumann-Gasse
6005,Luzern,LU,Armee Ausbildungszentrum
6005,Luzern,LU,Armee Ausbildungszentrum
6005,Luzern,LU,Arsenalstrasse
6005,Luzern,LU,Arsenalstrasse
6005,Luzern,LU,Auf Hirtenhof
6005,Luzern,LU,Auf Hirtenhof
6004,Luzern,LU,Auf Musegg
6004,Luzern,LU,Auf Musegg
6005,Luzern,LU,Auf Weinbergli
6005,Luzern,LU,Auf Weinbergli
6003,Luzern,LU,Bahnhof Shopping
6003,Luzern,LU,Bahnhof-Shopping
6003,Luzern,LU,Bahnhofplatz
6003,Luzern,LU,Bahnhofplatz
6003,Luzern,LU,Bahnhofstrasse
6003,Luzern,LU,Bahnhofstrasse
6006,Luzern,LU,Balthasarweg
6003,Luzern,LU,Baselstrasse
6003,Luzern,LU,Baselstrasse
6014,Luzern,LU,Baumgarten
6014,Luzern,LU,Baumgarten
6014,Luzern,LU,Baumgartenn
6014,Luzern,LU,Baumgartenn
6006,Luzern,LU,Bellerivehöhe
6006,Luzern,LU,Bellerivehöhe
6006,Luzern,LU,Bellerivematte
6006,Luzern,LU,Bellerivematte
6006,Luzern,LU,Bellerivestrasse
6006,Luzern,LU,Bellerivestrasse
6014,Luzern,LU,Bennenegg
6014,Luzern,LU,Bennenegg
6014,Luzern,LU,Bergheim
6005,Luzern,LU,Berglistrasse
6003,Luzern,LU,Berglistrasse
6003,Luzern,LU,Berglistrasse
6005,Luzern,LU,Berglistrasse
6004,Luzern,LU,Bergstrasse
6004,Luzern,LU,Bergstrasse
6003,Luzern,LU,Bernerweg
6003,Luzern,LU,Bernerweg
6003,Luzern,LU,Bernstrasse
6003,Luzern,LU,Bernstrasse
6005,Luzern,LU,Biregghalde
6005,Luzern,LU,Biregghang
6005,Luzern,LU,Biregghofstrasse
6005,Luzern,LU,Bireggring
6005,Luzern,LU,Bireggring
6003,Luzern,LU,Bireggstrasse
6003,Luzern,LU,Bireggstrasse
6003,Luzern,LU,Birkenstrasse
6003,Luzern,LU,Birkenstrasse
6014,Luzern,LU,Blattenmoosstrasse
6014,Luzern,LU,Blattenmoosstrasse
6003,Luzern,LU,Bleicherstrasse
6003,Luzern,LU,Bleicherstrasse
6006,Luzern,LU,Blumenrain
6006,Luzern,LU,Blumenrain
6003,Luzern,LU,Blumenweg
6005,Luzern,LU,Bocciodromo
6005,Luzern,LU,Bocciodromo
6014,Luzern,LU,Bodenhof
6014,Luzern,LU,Bodenhof
6005,Luzern,LU,Bodenhof-Terrasse
6005,Luzern,LU,Bodenhof-Terrasse
6005,Luzern,LU,Bodenhofstrasse
6005,Luzern,LU,Bodenhofstrasse
6004,Luzern,LU,Bramberghöhe
6004,Luzern,LU,Bramberghöhe
6004,Luzern,LU,Brambergrain
6004,Luzern,LU,Brambergrain
6004,Luzern,LU,Brambergsteig
6004,Luzern,LU,Brambergstrasse
6004,Luzern,LU,Brambergstrasse
6004,Luzern,LU,Brandgässli
6004,Luzern,LU,Brandgässli
6005,Luzern,LU,Breitenlachenstrasse
6005,Luzern,LU,Breitenlachenstrasse
6014,Luzern,LU,Breitmatt
6014,Luzern,LU,Briefeinwurf Bodenhof
6015,Luzern,LU,Briefeinwurf Hauptstrasse
6015,Luzern,LU,Briefeinwurf Rothenbadstrasse
6014,Luzern,LU,Briefeinwurf Staldenhof
6005,Luzern,LU,Brisenweg
6003,Luzern,LU,Bruchmatthalde
6003,Luzern,LU,Bruchmattrain
6003,Luzern,LU,Bruchmattstrasse
6003,Luzern,LU,Bruchmattstrasse
6003,Luzern,LU,Bruchstrasse
6003,Luzern,LU,Bruchstrasse
6006,Luzern,LU,Brunnhalde
6006,Luzern,LU,Brunnhalde
6006,Luzern,LU,Brüelstrasse
6004,Luzern,LU,Brüggligasse
6004,Luzern,LU,Brüggligasse
6006,Luzern,LU,Brühlmoos
6006,Luzern,LU,Brühlmoos
6005,Luzern,LU,Brünigstrasse
6005,Luzern,LU,Brünigstrasse
6014,Luzern,LU,Buggenringen
6014,Luzern,LU,Buggenringen
6003,Luzern,LU,Bundesplatz
6003,Luzern,LU,Bundesplatz
6003,Luzern,LU,Bundesstrasse
6003,Luzern,LU,Bundesstrasse
6003,Luzern,LU,Buobenmatt
6003,Luzern,LU,Buobenmatt
6014,Luzern,LU,Burg
6003,Luzern,LU,Burgerstrasse
6003,Luzern,LU,Burgerstrasse
6014,Luzern,LU,Burgweg
6014,Luzern,LU,Burgweg
6005,Luzern,LU,Böshüsliweg
6005,Luzern,LU,Böshüsliweg
6014,Luzern,LU,Büchel
6014,Luzern,LU,Büchel
6014,Luzern,LU,Bühl
6005,Luzern,LU,Bürgenstrasse
6005,Luzern,LU,Bürgenstrasse
6006,Luzern,LU,Büttenenhalde
6006,Luzern,LU,Büttenenhalde
6006,Luzern,LU,Büttenenring
6006,Luzern,LU,Büttenenring
6006,Luzern,LU,Büttenenstrasse
6006,Luzern,LU,Büttenenstrasse
6006,Luzern,LU,Camping Lido
6006,Luzern,LU,Camping Lido
6014,Luzern,LU,Cheerstrasse
6014,Luzern,LU,Cheerstrasse
6003,Luzern,LU,Château Gütsch
6003,Luzern,LU,Claridenstrasse
6003,Luzern,LU,Claridenstrasse
6004,Luzern,LU,Cysatstrasse
6004,Luzern,LU,Cysatstrasse
6005,Luzern,LU,Cécile-Lauber-Gasse
6005,Luzern,LU,Cécile-Lauber-Gasse
6003,Luzern,LU,Dammstrasse
6003,Luzern,LU,Dammstrasse
6006,Luzern,LU,Denkmalstrasse
6006,Luzern,LU,Denkmalstrasse
6004,Luzern,LU,Diebold-Schilling-Strasse
6004,Luzern,LU,Diebold-Schilling-Strasse
6006,Luzern,LU,Dietschiberg
6006,Luzern,LU,Dorenbach
6005,Luzern,LU,Dorfstrasse
6005,Luzern,LU,Dorfstrasse
6003,Luzern,LU,Dornacherstrasse
6003,Luzern,LU,Dornacherstrasse
6006,Luzern,LU,Dreilindenhöhe
6006,Luzern,LU,Dreilindenhöhe
6006,Luzern,LU,Dreilindenstrasse
6006,Luzern,LU,Dreilindenstrasse
6003,Luzern,LU,Dufourstrasse
6003,Luzern,LU,Dufourstrasse
6006,Luzern,LU,Eggen
6006,Luzern,LU,Eggen
6006,Luzern,LU,Eggenhof
6015,Luzern,LU,Eichenstrasse
6015,Luzern,LU,Eichenstrasse
6005,Luzern,LU,Eichmattstrasse
6005,Luzern,LU,Eichmattstrasse
6005,Luzern,LU,Eichwaldstrasse
6005,Luzern,LU,Eichwaldstrasse
6014,Luzern,LU,Eigenheim
6005,Luzern,LU,Eigerweg
6005,Luzern,LU,Eigerweg
6004,Luzern,LU,Eisengasse
6004,Luzern,LU,Eisengasse
6005,Luzern,LU,Eisfeldstrasse
6005,Luzern,LU,Eisfeldstrasse
6005,Luzern,LU,Elfenaustrasse
6005,Luzern,LU,Elfenaustrasse
6014,Luzern,LU,Emmenblick
6006,Luzern,LU,Englischgrussstrasse
6015,Luzern,LU,Ennetweg
6015,Luzern,LU,Ennetweg
6005,Luzern,LU,Eschenstrasse
6004,Luzern,LU,Etterlinhalde
6004,Luzern,LU,Etterlinhalde
6004,Luzern,LU,Etterlinstrasse
6005,Luzern,LU,Europaplatz
6004,Luzern,LU,Falkengasse
6004,Luzern,LU,Falkengasse
6004,Luzern,LU,Falkenplatz
6004,Luzern,LU,Falkenplatz
6014,Luzern,LU,Fanghöfli
6006,Luzern,LU,Felsbergstrasse
6006,Luzern,LU,Felsbergstrasse
6006,Luzern,LU,Felsental
6006,Luzern,LU,Felsental
6005,Luzern,LU,Fliegerschuppen
6014,Luzern,LU,Florastrasse
6014,Luzern,LU,Florastrasse
6003,Luzern,LU,Floraweg
6003,Luzern,LU,Floraweg
6006,Luzern,LU,Florina
6014,Luzern,LU,Fluck
6014,Luzern,LU,Fluck
6014,Luzern,LU,Fluckmättli
6014,Luzern,LU,Fluckrain
6004,Luzern,LU,Fluhgrund
6004,Luzern,LU,Fluhgrund
6004,Luzern,LU,Fluhhöhe
6004,Luzern,LU,Fluhhöhe
6004,Luzern,LU,Fluhmattrain
6004,Luzern,LU,Fluhmattstrasse
6004,Luzern,LU,Fluhmattstrasse
6004,Luzern,LU,Fluhmattweg
6004,Luzern,LU,Fluhmattweg
6015,Luzern,LU,Fluhmühle
6015,Luzern,LU,Fluhmühle
6015,Luzern,LU,Fluhmühlerain
6015,Luzern,LU,Fluhmühlerain
6014,Luzern,LU,Flurstrasse
6014,Luzern,LU,Flurstrasse
6003,Luzern,LU,Frankenstrasse
6003,Luzern,LU,Frankenstrasse
6003,Luzern,LU,Franziskanerplatz
6003,Luzern,LU,Franziskanerplatz
6005,Luzern,LU,Frauenhaus
6004,Luzern,LU,Friedberghalde
6004,Luzern,LU,Friedberghalde
6004,Luzern,LU,Friedberghöhe
6004,Luzern,LU,Friedberghöhe
6004,Luzern,LU,Friedbergstrasse
6004,Luzern,LU,Friedbergstrasse
6004,Luzern,LU,Friedenstrasse
6004,Luzern,LU,Friedenstrasse
6004,Luzern,LU,Friedentalstrasse
6004,Luzern,LU,Friedentalstrasse
6005,Luzern,LU,Frohburgstrasse
6005,Luzern,LU,Fruttstrasse
6005,Luzern,LU,Fruttstrasse
6004,Luzern,LU,Furrengasse
6004,Luzern,LU,Furrengasse
6014,Luzern,LU,Gadenmatt
6014,Luzern,LU,Gansenbach
6014,Luzern,LU,Gansenbach
6006,Luzern,LU,Gartenheimstrasse
6006,Luzern,LU,Gartenheimstrasse
6014,Luzern,LU,Gasshof
6014,Luzern,LU,Gasshof
6014,Luzern,LU,Gasshofstrasse
6014,Luzern,LU,Gasshofstrasse
6005,Luzern,LU,Gebeneggweg
6005,Luzern,LU,Geissensteinring
6005,Luzern,LU,Geissensteinring
6004,Luzern,LU,Geissmatthalde
6004,Luzern,LU,Geissmatthalde
6004,Luzern,LU,Geissmatthöhe
6004,Luzern,LU,Geissmatthöhe
6004,Luzern,LU,Geissmattstrasse
6004,Luzern,LU,Geissmattstrasse
6006,Luzern,LU,Geisterweg
6004,Luzern,LU,Gerbergasse
6004,Luzern,LU,Gerbergasse
6006,Luzern,LU,Gerlisberg
6006,Luzern,LU,Gerlisbergstrasse
6006,Luzern,LU,Gesegnetmattstrasse
6006,Luzern,LU,Gesegnetmattstrasse
6003,Luzern,LU,Gibraltar
6003,Luzern,LU,Gibraltarstrasse
6003,Luzern,LU,Gibraltarstrasse
6014,Luzern,LU,Gigerhüsli
6006,Luzern,LU,Giselihalde
6006,Luzern,LU,Giselihalde
6006,Luzern,LU,Giselistrasse
6006,Luzern,LU,Giselistrasse
6014,Luzern,LU,Gopigen
6014,Luzern,LU,Gopigen
6004,Luzern,LU,Gopplismooshalde
6004,Luzern,LU,Grabenstrasse
6004,Luzern,LU,Grabenstrasse
6004,Luzern,LU,Grendel
6004,Luzern,LU,Grendel
6004,Luzern,LU,Grendelstrasse
6004,Luzern,LU,Grendelstrasse
6003,Luzern,LU,Grenzweg
6005,Luzern,LU,Grimselweg
6005,Luzern,LU,Grimselweg
6005,Luzern,LU,Grosshofmatte
6014,Luzern,LU,Grossmatte
6014,Luzern,LU,Grossmatte
6014,Luzern,LU,Grossmatte Ost
6014,Luzern,LU,Grubenstrasse
6014,Luzern,LU,Grubenstrasse
6014,Luzern,LU,Grudligen
6014,Luzern,LU,Grudligen
6014,Luzern,LU,Grünauring
6014,Luzern,LU,Grünauring
6005,Luzern,LU,Grüneggstrasse
6005,Luzern,LU,Grüneggstrasse
6005,Luzern,LU,Grünring
6005,Luzern,LU,Grünring
6005,Luzern,LU,Guggistrasse
6005,Luzern,LU,Guggistrasse
6005,Luzern,LU,Guggiweg
6005,Luzern,LU,Guggiweg
6006,Luzern,LU,Gundoldingenstrasse
6006,Luzern,LU,Gärtnerstrasse
6006,Luzern,LU,Gärtnerstrasse
6005,Luzern,LU,Güterstrasse
6005,Luzern,LU,Güterstrasse
6003,Luzern,LU,Gütsch
6003,Luzern,LU,Gütschhöhe
6003,Luzern,LU,Gütschstrasse
6003,Luzern,LU,Gütschstrasse
6003,Luzern,LU,Habsburgerstrasse
6003,Luzern,LU,Habsburgerstrasse
6006,Luzern,LU,Haldenrain
6006,Luzern,LU,Haldenrain
6006,Luzern,LU,Haldenstrasse
6006,Luzern,LU,Haldenstrasse
6003,Luzern,LU,Hallwilerweg
6003,Luzern,LU,Hallwilerweg
6004,Luzern,LU,Hans-Holbein-Gasse
6004,Luzern,LU,Hans-Holbein-Gasse
6005,Luzern,LU,Haselweg
6005,Luzern,LU,Haselweg
6015,Luzern,LU,Hauptstrasse
6015,Luzern,LU,Hauptstrasse
6004,Luzern,LU,Haus Hirschpark
6005,Luzern,LU,Heim im Bergli
6005,Luzern,LU,Heim im Bergli
6003,Luzern,LU,Heimatweg
6003,Luzern,LU,Heimatweg
6003,Luzern,LU,Heimbachweg
6015,Luzern,LU,Heiterweid
6015,Luzern,LU,Heiterweid
6015,Luzern,LU,Helgengüetlistrasse
6015,Luzern,LU,Helgengüetlistrasse
6006,Luzern,LU,Hemschlenstrasse
6006,Luzern,LU,Hemschlenstrasse
6004,Luzern,LU,Hertensteinstrasse
6004,Luzern,LU,Hertensteinstrasse
6003,Luzern,LU,Himmelrichstrasse
6003,Luzern,LU,Himmelrichstrasse
6004,Luzern,LU,Hinter-Bramberg
6004,Luzern,LU,Hinter-Bramberg
6014,Luzern,LU,Hinterspitzhof
6003,Luzern,LU,Hirschengraben
6003,Luzern,LU,Hirschengraben
6004,Luzern,LU,Hirschenplatz
6004,Luzern,LU,Hirschenplatz
6003,Luzern,LU,Hirschmattstrasse
6003,Luzern,LU,Hirschmattstrasse
6005,Luzern,LU,Hirtenhofring
6005,Luzern,LU,Hirtenhofring
6005,Luzern,LU,Hirtenhofstrasse
6005,Luzern,LU,Hirtenhofstrasse
6005,Luzern,LU,Hirtenhofweg
6005,Luzern,LU,Hirtenhofweg
6006,Luzern,LU,Hitzlisbergstrasse
6006,Luzern,LU,Hitzlisbergstrasse
6003,Luzern,LU,Hochbühlstrasse
6003,Luzern,LU,Hochbühlstrasse
6006,Luzern,LU,Hochhüsliweid
6006,Luzern,LU,Hochhüsliweid
6005,Luzern,LU,Hochrüti
6005,Luzern,LU,Hochrüti
6005,Luzern,LU,Hochrütiring
6005,Luzern,LU,Hochrütiring
6005,Luzern,LU,Hochrütistrasse
6005,Luzern,LU,Hochrütistrasse
6004,Luzern,LU,Hofstrasse
6006,Luzern,LU,Hofstrasse
6004,Luzern,LU,Hofstrasse
6006,Luzern,LU,Hofstrasse
6005,Luzern,LU,Horwerstrasse
6005,Luzern,LU,Horwerstrasse
6005,Luzern,LU,Hubelmatt
6005,Luzern,LU,Hubelrain
6014,Luzern,LU,Huob
6015,Luzern,LU,Höhenstrasse
6015,Luzern,LU,Höhenstrasse
6005,Luzern,LU,Höhenweg
6005,Luzern,LU,Höhenweg
6005,Luzern,LU,Hügelweg
6005,Luzern,LU,Hügelweg
6006,Luzern,LU,Hünenbergring
6006,Luzern,LU,Hünenbergring
6006,Luzern,LU,Hünenbergstrasse
6006,Luzern,LU,Hünenbergstrasse
6004,Luzern,LU,Ibachstrasse
6004,Luzern,LU,Im Zöpfli
6005,Luzern,LU,Imfangring
6005,Luzern,LU,Imfangring
6005,Luzern,LU,Imfangstrasse
6005,Luzern,LU,Imfangstrasse
6005,Luzern,LU,Industriestrasse
6005,Luzern,LU,Industriestrasse
6005,Luzern,LU,Inseliquai
6014,Luzern,LU,Jodersmatt
6014,Luzern,LU,Jodersmatt
6005,Luzern,LU,Johanna-Hodel-Gasse
6004,Luzern,LU,Jugiweg
6005,Luzern,LU,Jungfrauweg
6005,Luzern,LU,Jungfrauweg
6003,Luzern,LU,Kanonenstrasse
6003,Luzern,LU,Kanonenstrasse
6004,Luzern,LU,Kantonsspital
6004,Luzern,LU,Kantonsspital
6003,Luzern,LU,Kapellbrücke
6004,Luzern,LU,Kapellgasse
6004,Luzern,LU,Kapellgasse
6004,Luzern,LU,Kapellplatz
6004,Luzern,LU,Kapellplatz
6006,Luzern,LU,Kapuzinerweg
6006,Luzern,LU,Kapuzinerweg
6005,Luzern,LU,Kaserne
6005,Luzern,LU,Kaserne
6003,Luzern,LU,Kasernenplatz
6003,Luzern,LU,Kasernenplatz
6003,Luzern,LU,Kasimir Strasse
6003,Luzern,LU,Kasimir Strasse
6003,Luzern,LU,Kasimir-Pfyffer-Strasse
6003,Luzern,LU,Kasimir-Pfyffer-Strasse
6003,Luzern,LU,Kauffmannweg
6003,Luzern,LU,Kauffmannweg
6005,Luzern,LU,Kellerstrasse
6005,Luzern,LU,Kellerstrasse
6003,Luzern,LU,Kesselgasse
6003,Luzern,LU,Kesselgasse
6003,Luzern,LU,Kleinmattstrasse
6003,Luzern,LU,Kleinmattstrasse
6014,Luzern,LU,Kleinrüti
6003,Luzern,LU,Klosterstrasse
6003,Luzern,LU,Klosterstrasse
6014,Luzern,LU,Kollerhüsli
6014,Luzern,LU,Kollerhüsli
6014,Luzern,LU,Kornellen
6004,Luzern,LU,Kornmarkt
6004,Luzern,LU,Kornmarkt
6004,Luzern,LU,Kornmarktgasse
6004,Luzern,LU,Kornmarktgasse
6004,Luzern,LU,Kramgasse
6004,Luzern,LU,Kramgasse
6014,Luzern,LU,Krattenbach
6014,Luzern,LU,Krattenbach
6006,Luzern,LU,Kreuzbuchrain
6006,Luzern,LU,Kreuzbuchstrasse
6006,Luzern,LU,Kreuzbuchstrasse
6006,Luzern,LU,Kreuzmattweg
6003,Luzern,LU,Krongasse
6014,Luzern,LU,Käserei Spitzfluh
6006,Luzern,LU,Lamperdingen
6005,Luzern,LU,Landenbergstrasse
6005,Luzern,LU,Landenbergstrasse
6006,Luzern,LU,Landgut
6006,Luzern,LU,Landgut
6015,Luzern,LU,Landgut Staffeln
6006,Luzern,LU,Landgut Unterlöchli
6006,Luzern,LU,Landgut Unterlöchli
6015,Luzern,LU,Landhaus Rothen
6015,Luzern,LU,Landhaus Rothen
6006,Luzern,LU,Landschau-Terrasse
6006,Luzern,LU,Landschaustrasse
6006,Luzern,LU,Landschaustrasse
6003,Luzern,LU,Landungsbrücke
6003,Luzern,LU,Landungsbrücke
6006,Luzern,LU,Landungsbrücke
6005,Luzern,LU,Langensandstrasse
6005,Luzern,LU,Langensandstrasse
6004,Luzern,LU,Ledergasse
6004,Luzern,LU,Ledergasse
6004,Luzern,LU,Lerchenstrasse
6006,Luzern,LU,Leumatt
6006,Luzern,LU,Leumatt
6006,Luzern,LU,Leumattstrasse
6006,Luzern,LU,Leumattstrasse
6004,Luzern,LU,Libellenhöhe
6004,Luzern,LU,Libellenhöhe
6004,Luzern,LU,Libellenrain
6004,Luzern,LU,Libellenrain
6004,Luzern,LU,Libellenstrasse
6004,Luzern,LU,Libellenstrasse
6006,Luzern,LU,Lidostrasse
6006,Luzern,LU,Lidostrasse
6006,Luzern,LU,Liebenauweg
6006,Luzern,LU,Liebenauweg
6006,Luzern,LU,Lindenfeldsteig
6006,Luzern,LU,Lindenfeldsteig
6006,Luzern,LU,Lindenfeldstrasse
6006,Luzern,LU,Lindenfeldstrasse
6006,Luzern,LU,Lindenfeldweid
6005,Luzern,LU,Lindengartenweg
6005,Luzern,LU,Lindengartenweg
6005,Luzern,LU,Lindenhausstrasse
6005,Luzern,LU,Lindenhausstrasse
6015,Luzern,LU,Lindenstrasse
6015,Luzern,LU,Lindenstrasse
6014,Luzern,LU,Littauerboden
6014,Luzern,LU,Littauerboden
6004,Luzern,LU,Loshüsli
6004,Luzern,LU,Luegetenstrasse
6004,Luzern,LU,Luegetenstrasse
6014,Luzern,LU,Luzernerstrasse
6014,Luzern,LU,Luzernerstrasse
6003,Luzern,LU,Lädelistrasse
6003,Luzern,LU,Lädelistrasse
6014,Luzern,LU,Längweiherstrasse
6014,Luzern,LU,Längweiherstrasse
6006,Luzern,LU,Löwen-Terrasse
6006,Luzern,LU,Löwen-Terrasse
6004,Luzern,LU,Löwengraben
6004,Luzern,LU,Löwengraben
6014,Luzern,LU,Löwengrube
6014,Luzern,LU,Löwengrube
6004,Luzern,LU,Löwenplatz
6004,Luzern,LU,Löwenplatz
6004,Luzern,LU,Löwenstrasse
6004,Luzern,LU,Löwenstrasse
6006,Luzern,LU,Lützelmattstrasse
6006,Luzern,LU,Lützelmattstrasse
6006,Luzern,LU,Lützelmattweg
6006,Luzern,LU,Lützelmattweg
6005,Luzern,LU,MP Bahnhof
6006,Luzern,LU,Maihofhalde
6006,Luzern,LU,Maihofhalde
6006,Luzern,LU,Maihofmatte
6006,Luzern,LU,Maihofmatte
6004,Luzern,LU,Maihofstrasse
6004,Luzern,LU,Maihofstrasse
6006,Luzern,LU,Maihofstrasse
6006,Luzern,LU,Maihofstrasse
6005,Luzern,LU,Margritenweg
6005,Luzern,LU,Margritenweg
6004,Luzern,LU,Mariahilfgasse
6004,Luzern,LU,Mariahilfgasse
6014,Luzern,LU,Matthof
6014,Luzern,LU,Matthof
6005,Luzern,LU,Matthofgarten
6005,Luzern,LU,Matthofgarten
6005,Luzern,LU,Matthofring
6005,Luzern,LU,Matthofring
6005,Luzern,LU,Matthofstrand
6005,Luzern,LU,Matthofstrand
6005,Luzern,LU,Matthofstrasse
6005,Luzern,LU,Matthofstrasse
6014,Luzern,LU,Matthöhering
6014,Luzern,LU,Matthöhering
6014,Luzern,LU,Mattrain
6014,Luzern,LU,Mattrain
6014,Luzern,LU,Mattstrasse
6014,Luzern,LU,Mattstrasse
6014,Luzern,LU,Mattweg
6006,Luzern,LU,Meggerhornweg
6006,Luzern,LU,Meisenweg
6006,Luzern,LU,Meisenweg
6006,Luzern,LU,Mettenwylstrasse
6006,Luzern,LU,Mettenwylstrasse
6004,Luzern,LU,Metzgerrainle
6004,Luzern,LU,Metzgerrainle
6003,Luzern,LU,Meyerstrasse
6003,Luzern,LU,Meyerstrasse
6014,Luzern,LU,Mia Chesa
6003,Luzern,LU,Militärstrasse
6006,Luzern,LU,Minigolf Lido
6014,Luzern,LU,Mooshof
6005,Luzern,LU,Moosmattstrasse
6005,Luzern,LU,Moosmattstrasse
6003,Luzern,LU,Moosstrasse
6003,Luzern,LU,Moosstrasse
